web_name,team,pos,price,owned_pct,total_points,form,minutes,starts,goals_scored,assists,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,transfers_in_event,transfers_out_event,net_transfers_event,cost_change_event,status,chance_of_playing_next_round
Grealish,EVE,MID,6.5,0.4,3,0.8,57,0,0,0,0.02,0.14,0.16,0.61,6,4413,3085,1328,0.0,a,100
Armstrong,EVE,MID,5.0,0.4,14,3.5,356,4,0,1,0.09,0.12,0.21,5.50,35,4146,3155,991,0.0,a,
Muniz,FUL,FWD,5.4,0.4,3,0.8,28,0,0,0,0.40,0.00,0.40,0.49,2,1571,2902,-1331,0.0,a,
Walton,IPS,GKP,4.4,0.4,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,449,1055,-606,0.0,a,
Aït-Nouri,MCI,DEF,5.3,0.4,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,725,3282,-2557,0.0,a,
Zirkzee,MUN,FWD,5.4,0.4,1,0.2,7,0,0,0,0.00,0.01,0.01,0.02,3,1455,3006,-1551,0.0,a,
J.Ramsey,NEW,MID,4.9,0.4,7,1.8,69,0,1,0,0.17,0.16,0.33,1.92,11,1744,2708,-964,0.0,d,25
Osula,NEW,FWD,5.9,0.4,4,1.0,55,1,0,1,0.06,0.14,0.20,1.48,5,102,3254,-3152,0.0,i,0
Udogie,TOT,DEF,4.4,0.4,7,1.8,86,1,0,0,0.00,0.23,0.23,1.17,4,153,3490,-3337,-0.1,a,100
Maddison,TOT,MID,6.3,0.4,2,0.5,35,0,0,0,0.00,0.02,0.02,0.88,5,662,2247,-1585,0.0,a,100
Lindelöf,AVL,DEF,4.5,0.3,7,1.8,360,4,0,0,0.44,0.17,0.61,7.66,16,1430,1542,-112,0.0,a,
Barkley,AVL,MID,5.0,0.3,9,2.2,302,4,0,0,0.38,0.14,0.52,6.58,24,1101,1866,-765,0.0,a,
Kamara,AVL,MID,5.0,0.3,9,2.2,360,4,0,0,0.00,0.15,0.15,7.66,30,1070,2440,-1370,0.0,a,100
Garnacho,AVL,MID,5.8,0.3,3,0.8,31,0,0,0,0.00,0.00,0.00,0.49,2,429,4191,-3762,-0.1,a,
Soler,BOU,DEF,4.0,0.3,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,1283,1226,57,0.0,a,100
Adams,BOU,MID,5.0,0.3,8,2.0,192,2,0,0,0.03,0.03,0.06,1.34,28,1650,2092,-442,0.0,a,100
