web_name,team,pos,price,owned_pct,total_points,form,minutes,starts,goals_scored,assists,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,transfers_in_event,transfers_out_event,net_transfers_event,cost_change_event,status,chance_of_playing_next_round
Tonali,TOT,MID,5.4,2.4,12,3.0,344,4,0,0,0.18,0.40,0.58,6.62,31,2767,17247,-14480,0.0,d,75
McGinn,AVL,MID,5.4,2.3,11,2.8,351,4,0,1,0.77,0.20,0.97,7.51,24,6141,8179,-2038,0.0,a,
Giles,HUL,DEF,4.0,2.2,24,6.0,354,4,0,1,0.02,0.35,0.37,5.89,19,59877,6194,53683,0.0,a,
Bogle,LEE,DEF,4.5,2.2,31,7.8,271,4,2,0,1.25,0.14,1.39,1.91,13,14259,5482,8777,0.0,a,
Thiaw,NEW,DEF,5.0,2.2,8,2.0,324,4,0,0,0.00,0.07,0.07,6.82,27,7971,6674,1297,0.0,a,
Marmoush,TOT,FWD,7.0,2.2,6,1.5,249,3,0,0,0.36,0.11,0.47,2.68,9,6899,19637,-12738,0.0,a,
Mosquera,ARS,DEF,5.4,2.1,12,3.0,168,2,0,0,0.00,0.01,0.01,0.53,10,87,37390,-37303,0.0,d,50
Frimpong,LIV,DEF,5.4,2.1,2,0.5,178,2,0,0,0.01,0.23,0.24,3.91,12,1147,18074,-16927,0.0,a,
Mukiele,SUN,DEF,5.4,2.1,13,3.2,270,3,0,0,0.70,0.05,0.75,4.04,39,2432,11088,-8656,-0.1,a,100
Lewis-Potter,BRE,MID,5.5,2.0,19,4.8,326,4,1,1,1.06,0.78,1.84,4.99,29,2462,18040,-15578,0.0,a,
Branthwaite,EVE,DEF,5.5,2.0,19,4.8,360,4,0,0,0.17,0.02,0.19,5.50,40,15847,4207,11640,0.0,a,
Barcola,LIV,MID,8.0,2.0,4,2.0,97,1,0,0,0.21,0.10,0.31,0.77,5,10832,18580,-7748,0.0,a,
McBurnie,HUL,FWD,5.5,1.9,12,3.0,351,4,0,2,0.87,0.11,0.98,5.77,15,13649,9409,4240,0.0,a,
Targett,HUL,DEF,4.0,1.9,1,0.2,5,0,0,0,0.00,0.00,0.00,0.07,0,2195,6502,-4307,0.0,a,
Suzuki,AVL,GKP,5.0,1.8,14,3.5,270,3,0,0,0.00,0.01,0.01,3.89,0,6510,6718,-208,0.0,a,
Rayan,BOU,MID,6.4,1.8,8,2.0,347,4,0,0,0.87,0.08,0.95,4.95,11,1256,15361,-14105,0.0,a,
Rúben,MCI,DEF,5.5,1.8,16,4.0,360,4,0,0,0.09,0.74,0.83,3.68,22,7001,3961,3040,0.0,a,
Dalot,MUN,DEF,4.9,1.8,6,1.5,256,3,0,0,0.18,0.18,0.36,3.08,14,1586,6837,-5251,0.0,a,
Šeško,MUN,FWD,7.0,1.8,8,2.0,76,0,1,0,0.39,0.01,0.40,2.00,5,10339,8226,2113,0.0,a,100
Murillo,NFO,DEF,5.5,1.8,19,4.8,359,4,0,1,0.35,0.29,0.64,4.10,42,16808,2790,14018,0.0,a,100
Bruno G.,ARS,MID,6.7,1.7,8,2.0,64,0,1,0,0.09,0.15,0.24,1.57,6,7059,3958,3101,-0.1,a,100
F.Kadıoğlu,BHA,DEF,4.4,1.7,8,2.0,257,3,0,0,0.08,0.11,0.19,6.66,7,1695,6097,-4402,0.0,a,100
Henderson,CRY,GKP,5.0,1.7,5,1.2,270,3,0,0,0.00,0.00,0.00,6.47,0,122,27483,-27361,0.0,i,0
Matthews,CRY,GKP,4.0,1.7,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,1218,2288,-1070,0.0,a,
A.García,AVL,DEF,4.0,1.6,0,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0,3505,5657,-2152,0.0,a,
Tielemans,MUN,MID,5.9,1.6,10,2.5,312,4,0,0,0.56,0.32,0.88,4.54,30,3312,9853,-6541,0.0,a,100
Rashford,MUN,MID,7.0,1.6,8,2.0,275,3,0,0,0.38,0.29,0.67,2.88,16,7401,8080,-679,0.0,a,
Mateta,CRY,FWD,6.3,1.5,2,0.5,62,1,0,0,0.70,0.02,0.72,0.98,5,79,11836,-11757,-0.1,i,0
Justin,LEE,DEF,4.5,1.5,17,4.2,324,4,0,0,0.17,0.30,0.47,4.79,33,2879,3400,-521,0.0,a,
Khusanov,MCI,DEF,5.5,1.5,9,2.2,268,3,0,0,0.00,0.06,0.06,2.68,17,1571,7664,-6093,0.0,a,
Mainoo,MUN,MID,5.5,1.5,18,4.5,275,3,0,1,0.24,0.42,0.66,3.15,44,12907,4278,8629,0.0,a,
Horníček,NEW,GKP,5.0,1.5,11,2.8,324,4,0,0,0.00,0.00,0.00,6.82,0,9725,4228,5497,0.0,a,
Sels,NFO,GKP,5.0,1.5,12,3.0,360,4,0,0,0.00,0.01,0.01,4.10,0,10711,3284,7427,0.0,a,
